playerID, Last_Name,  First_Name, BH, TH, teamID, Position
alvaj003,Alvarez,Jose,L,L,ANA,P
aybae001,Aybar,Erick,B,R,ANA,SS
bandj001,Bandy,Jett,R,R,ANA,C
bedrc001,Bedrosian,Cam,R,R,ANA,P
buted001,Butera,Drew,R,R,ANA,C
calhk001,Calhoun,Kole,L,L,ANA,OF
cowak001,Cowart,Kaleb,B,R,ANA,3B
cowgc001,Cowgill,Collin,R,L,ANA,OF
cronc002,Cron,C.J.,R,R,ANA,1B
dejed001,DeJesus,David,L,L,ANA,CF
featt001,Featherston,Taylor,R,R,ANA,2B
freed001,Freese,David,R,R,ANA,3B
giavj001,Giavotella,Johnny,R,R,ANA,2B
gillc001,Gillaspie,Conor,L,R,ANA,1B
gottt001,Gott,Trevor,R,R,ANA,P
greeg002,Green,Grant,R,R,ANA,OF
heana001,Heaney,Andrew,L,L,ANA,P
iannc001,Iannetta,Chris,R,R,ANA,C
ibare001,Ibarra,Edgar,L,L,ANA,P
jackr005,Jackson,Ryan,R,R,ANA,SS
joycm001,Joyce,Matthew,L,R,ANA,OF
kraum001,Krauss,Marc,L,R,ANA,OF
kubik001,Kubitza,Kyle,L,R,ANA,3B
latom001,Latos,Mat,R,R,ANA,P
marta005,Marte,Alfredo,R,R,ANA,OF
mattr001,Mattheus,Ryan,R,R,ANA,P
morim002,Morin,Mike,R,R,ANA,P
murpd005,Murphy,David,L,L,ANA,OF
navae001,Navarro,Efren,L,L,ANA,1B
nieuk001,Nieuwenhuis,Kirk,L,R,ANA,OF
perec003,Perez,Carlos,R,R,ANA,C
pestv001,Pestano,Vinnie,R,R,ANA,P
pujoa001,Pujols,Albert,R,R,ANA,1B
ramoc001,Ramos,Cesar,L,L,ANA,P
rasmc002,Rasmus,Cory,R,R,ANA,P
reyej003,Reyes,Jo-Jo,L,L,ANA,P
richg002,Richards,Garrett,R,R,ANA,P
robed003,Robertson,Daniel,R,R,ANA,OF
rucid001,Rucinski,Drew,R,R,ANA,P
salaf001,Salas,Fernando,R,R,ANA,P
santh001,Santiago,Hector,R,L,ANA,P
shoem001,Shoemaker,Matt,R,R,ANA,P
smitj002,Smith,Joe,R,R,ANA,P
streh001,Street,Huston,R,R,ANA,P
tropn001,Tropeano,Nick,R,R,ANA,P
troum001,Trout,Mike,R,R,ANA,OF
victs001,Victorino,Shane,R,R,ANA,OF
weavj003,Weaver,Jered,R,R,ANA,P
wilka001,Wilk,Adam,L,L,ANA,P
wilsc004,Wilson,C.J.,L,L,ANA,P
wrigw001,Wright,Wesley,R,L,ANA,P
ahmen001,Ahmed,Nick,R,R,ARI,SS
andec001,Anderson,Chase,R,R,ARI,P
bracs001,Bracho,Silvino,R,R,ARI,P
brada001,Bradley,Archie,R,R,ARI,P
brits001,Brito,Socrates,L,L,ARI,OF
burge002,Burgos,Enrique,R,R,ARI,P
castw002,Castillo,Welington,R,R,ARI,C
chacj001,Chacin,Jhoulys,R,R,ARI,P
chafa001,Chafin,Andrew,R,L,ARI,P
collj001,Collmenter,Josh,R,R,ARI,P
corbp001,Corbin,Patrick,L,L,ARI,P
delar003,de la Rosa,Rubby,R,R,ARI,P
delgr001,Delgado,Randall,R,R,ARI,P
dornd001,Dorn,Danny,L,L,ARI,1B
drurb001,Drury,Brandon,R,R,ARI,3B
godlz001,Godley,Zack,R,R,ARI,P
goldp001,Goldschmidt,Paul,R,R,ARI,1B
goset001,Gosewisch,Tuffy,R,R,ARI,C
gossp001,Gosselin,Phil,R,R,ARI,2B
hellj001,Hellickson,Jeremy,R,R,ARI,P
hernd002,Hernandez,David,R,R,ARI,P
herno002,Hernandez,Oscar,R,R,ARI,C
hessk001,Hessler,Keith,L,L,ARI,P
hilla001,Hill,Aaron,R,R,ARI,2B
hudsd001,Hudson,Daniel,R,R,ARI,P
incie001,Inciarte,Ender,L,L,ARI,OF
lairg001,Laird,Gerald,R,R,ARI,C
leond003,Leone,Dominic,R,R,ARI,P
lambj001,Lamb,Jake,L,R,ARI,3B
marse001,Marshall,Evan,R,R,ARI,P
nunov001,Nuno,Vidal,L,L,ARI,P
obrip002,O'Brien,Peter,R,R,ARI,OF
owinc001,Owings,Chris,R,R,ARI,SS
pachj001,Pacheco,Jordan,R,R,ARI,C
pennc001,Pennington,Cliff,B,R,ARI,SS
perad001,Peralta,David,L,L,ARI,OF
pereo002,Perez,Oliver,L,L,ARI,P
polla001,Pollock,A.J.,R,R,ARI,OF
ramij002,Ramirez,J.C.,R,R,ARI,P
ray-r002,Ray,Robbie,L,L,ARI,P
reeda001,Reed,Addison,L,R,ARI,P
reynm002,Reynolds,Matt,L,L,ARI,P
romaj003,Romak,Jamie,R,R,ARI,3B
saltj001,Saltalamacchia,Jarrod,B,R,ARI,C
schua001,Schugel,A.J.,R,R,ARI,P
stitm001,Stites,Matt,L,R,ARI,P
tomay001,Tomas,Yasmany,R,R,ARI,OF
trumm001,Trumbo,Mark,R,R,ARI,OF
websa001,Webster,Allen,R,R,ARI,P
ziegb001,Ziegler,Brad,R,R,ARI,P
aardd001,Aardsma,David,R,R,ATL,P
avill001,Avilan,Luis,L,L,ATL,P
banum001,Banuelos,Manny,R,L,ATL,P
bethc001,Bethancourt,Christian,R,R,ATL,C
bourm001,Bourn,Michael,L,R,ATL,OF
brigj001,Brigham,Jake,R,R,ATL,P
burad001,Burawa,Danny,R,R,ATL,P
cahit001,Cahill,Trevor,R,R,ATL,P
calla001,Callaspo,Alberto,B,R,ATL,2B
carpd002,Carpenter,David,R,R,ATL,P
castd001,Castro,Daniel,R,R,ATL,2B
cirip001,Ciriaco,Pedro,R,R,ATL,SS
cornj002,Cornely,John,R,R,ATL,P
cunnb001,Cunniff,Brandon,R,R,ATL,P
cunnt001,Cunningham,Todd,B,R,ATL,OF
detwr001,Detwiler,Ross,R,L,ATL,P
eveld001,Eveland,Dana,L,L,ATL,P
foltm001,Foltynewicz,Mike,R,R,ATL,P
frasj002,Frasor,Jason,R,R,ATL,P
freef001,Freeman,Freddie,L,R,ATL,1B
garca004,Garcia,Adonis,R,R,ATL,SS
gomej001,Gomes,Jonny,R,R,ATL,OF
gossp001,Gosselin,Phil,R,R,ATL,2B
grilj001,Grilli,Jason,R,R,ATL,P
jacke001,Jackson,Edwin,R,R,ATL,P
jaimj001,Jaime,Juan,R,R,ATL,P
johnc003,Johnson,Chris,R,R,ATL,3B
johnj010,Johnson,Jim,R,R,ATL,P
johnk003,Johnson,Kelly,L,R,ATL,OF
kellr001,Kelly,Ryan,R,R,ATL,P
kohnm001,Kohn,Michael,R,R,ATL,P
lavar001,Lavarnway,Ryan,R,R,ATL,C
markn001,Markakis,Nick,L,L,ATL,OF
maris001,Marimon,Sugar Ray,R,R,ATL,P
markm001,Marksberry,Matt,L,L,ATL,P
martc008,Martin,Cody,R,R,ATL,P
massn001,Masset,Nick,R,R,ATL,P
maybc001,Maybin,Cameron,R,R,ATL,OF
mckia001,McKirahan,Andrew,R,L,ATL,P
mills001,Miller,Shelby,R,R,ATL,P
moylp001,Moylan,Peter,R,R,ATL,P
olivh001,Olivera,Hector,R,R,ATL,3B
peree003,Perez,Eury,R,R,ATL,OF
perew001,Perez,Williams,R,R,ATL,P
petej002,Peterson,Jace,L,R,ATL,3B
piera001,Pierzynski,A.J.,L,R,ATL,C
simma001,Simmons,Andrelton,R,R,ATL,SS
stule002,Stults,Eric,L,L,ATL,P
swisn001,Swisher,Nick,B,L,ATL,OF
tehej001,Teheran,Julio,R,R,ATL,P
terdj001,Terdoslavich,Joey,B,R,ATL,OF
